date,amount,description,category
2023-06-16,-294.88133309312354,electricity payment,utilities
2023-11-13,-160.40750361730306,stationery purchase,office
2023-12-29,-765.4650905927155,campaign spend,marketing
2022-03-05,-286.74332208487294,water service charge,utilities
2024-03-09,-775.4436374236399,campaign spend,marketing
2022-08-14,-641.2799416407196,campaign spend,marketing
2024-12-22,-334.35476927897975,electricity payment,utilities
2024-09-24,-344.7450798822804,electricity payment,utilities
2025-09-09,-135.14004225266018,stationery purchase,office
2024-12-24,-689.2630507370213,flight ticket,travel
2023-06-20,-2921.108893415174,building rent,rent
2025-11-14,-1065.3351449828228,social media ads,marketing
2023-08-24,-578.3102938504255,client visit transport,travel
2023-04-22,-661.5226296099872,flight ticket,travel
2025-08-15,-821.2804016862046,promotional expense,marketing
2023-06-26,-190.72979972445336,office supplies,office
2022-04-22,-1962.7342280181601,consultant salary,salary
2023-11-18,-365.1152059386757,water service charge,utilities
2025-03-08,-1334.9628156611748,consultant salary,salary
2022-10-04,-660.1328040355318,flight ticket,travel
2023-11-08,-313.90600643383124,water service charge,utilities
2022-07-09,-256.59521929923,internet bill,utilities
2024-09-29,-904.3655110238541,social media ads,marketing
2023-11-27,-308.8201934030257,water service charge,utilities
2023-04-28,623.9983416372519,customer payment received,income
2022-11-28,-388.99870780652077,internet bill,utilities
2024-04-04,-1870.6217132879285,staff wage transfer,salary
2024-09-05,-2715.117228869917,monthly office rent,rent
2025-10-05,-1073.6275549556867,promotional expense,marketing
2023-10-01,-2479.842788878562,warehouse lease payment,rent
2022-08-23,-2382.1221616360326,consultant salary,salary
2025-05-01,-845.0193743457118,social media ads,marketing
2024-07-09,-2354.8529764765963,monthly office rent,rent
2024-10-20,-683.3629546975278,flight ticket,travel
2022-05-23,-761.9750245763363,campaign spend,marketing
2023-04-02,1279.5602634799566,customer payment received,income
2025-01-26,-1926.3536045975588,staff wage transfer,salary
2025-04-30,-2324.5675814088786,monthly office rent,rent
2023-09-28,-145.61016060428503,office supplies,office
2025-03-21,-1764.394070457289,staff wage transfer,salary
2025-05-14,-789.4668667030953,social media ads,marketing
2023-07-21,-1588.1340466444447,staff wage transfer,salary
2025-08-05,-2173.4414611125103,monthly office rent,rent
2023-02-26,-1144.0994463275506,promotional expense,marketing
2022-12-16,-115.27141073967255,printer ink,office
2024-09-24,-188.57593264866273,office supplies,office
2024-07-19,-996.365632124526,social media ads,marketing
2022-07-24,-1875.5127444058812,employee payroll,salary
2025-05-01,263.5941122347409,customer payment received,income
2022-10-20,-1041.3837647618143,campaign spend,marketing
2025-03-21,-2015.501406593805,staff wage transfer,salary
2022-01-11,-2353.579400479794,monthly office rent,rent
2025-03-10,-138.83228172733354,printer ink,office
2025-02-23,-1746.3837724159905,consultant salary,salary
2025-02-14,-833.9331682433148,promotional expense,marketing
2024-08-29,-2476.488136286232,warehouse lease payment,rent
2023-11-20,-1770.9657713855188,staff wage transfer,salary
2024-10-27,-1591.4142519526547,staff wage transfer,salary
2023-02-09,-1650.1106658748956,staff wage transfer,salary
2025-02-14,-1009.2320079670403,campaign spend,marketing
2024-03-22,-148.47739669358904,printer ink,office
2023-11-02,-145.65341445420304,printer ink,office
2024-01-09,-602.1190835360458,campaign spend,marketing
2024-04-10,-1685.9819648361529,consultant salary,salary
2022-02-24,-125.95960348700329,office supplies,office
2022-07-24,-454.52626248692263,flight ticket,travel
2022-12-25,-739.694125631805,hotel booking,travel
2022-06-17,-1007.8387755605526,promotional expense,marketing
2023-10-05,-947.4558392443446,promotional expense,marketing
2024-09-03,-130.95815859807607,printer ink,office
2024-08-14,-666.4950424275247,flight ticket,travel
2023-11-20,-709.9713576122306,hotel booking,travel
2025-06-03,-944.8427515282657,promotional expense,marketing
2024-04-05,-1693.5558346506516,employee payroll,salary
2022-04-26,-1994.2600174142078,employee payroll,salary
2025-01-22,-798.9813910257908,flight ticket,travel
2024-04-19,-2148.7864915537048,monthly office rent,rent
2024-07-16,-1765.612131572749,employee payroll,salary
2024-04-06,-908.5736710491663,social media ads,marketing
2024-03-19,-169.05174208989047,printer ink,office
2022-05-13,-812.9350900450166,flight ticket,travel
2024-03-28,-272.9568321885046,water service charge,utilities
2025-03-07,-285.03604591060616,internet bill,utilities
2023-03-21,-808.5395463176618,campaign spend,marketing
2024-05-30,-778.1053973450416,hotel booking,travel
2022-02-15,-2853.982571770751,monthly office rent,rent
2023-05-23,-563.3783733915368,flight ticket,travel
2023-10-01,-272.7752980944507,electricity payment,utilities
2025-12-06,1209.7849501709204,customer payment received,income
2022-11-10,-188.4575873379785,stationery purchase,office
2023-02-09,-166.61347306973494,printer ink,office
2023-08-20,-789.3360603501827,flight ticket,travel
2025-12-21,-348.4912461421671,water service charge,utilities
2025-05-31,-354.74716718802324,electricity payment,utilities
2022-02-20,-1709.5385607648984,staff wage transfer,salary
2022-12-08,-139.17685504281775,stationery purchase,office
2025-04-15,-138.57610983813933,printer ink,office
2022-03-27,-158.40170107853734,stationery purchase,office
2025-06-04,-1227.2912812889099,consultant salary,salary
2023-02-16,-2302.8708832086945,consultant salary,salary
2025-09-02,-172.5534542797399,office supplies,office
2023-03-05,-698.1798639391127,client visit transport,travel
2023-09-27,-916.4437052472,promotional expense,marketing
2024-08-25,-209.50832494197687,internet bill,utilities
2022-07-04,822.2534205356764,customer payment received,income
2024-03-24,-797.7627162339209,flight ticket,travel
2024-01-08,-1034.8845603296866,campaign spend,marketing
2025-02-19,-292.2146787156498,internet bill,utilities
2025-12-26,-1150.6020615604516,promotional expense,marketing
2024-08-28,-1796.2005376241536,employee payroll,salary
2023-08-21,-309.6817124597008,internet bill,utilities
2023-08-17,-162.13954159322566,printer ink,office
2023-09-03,-153.9793318553879,stationery purchase,office
2025-04-04,-136.3921893926122,printer ink,office
2023-04-15,4357.98571010866,customer payment received,income
2022-09-01,-160.26351441259555,printer ink,office
2023-05-04,-140.1527473454781,printer ink,office
2022-02-03,-159.76950974832494,stationery purchase,office
2022-06-05,-2203.6024461376855,warehouse lease payment,rent
2022-05-12,-725.6223271360791,promotional expense,marketing
2025-02-01,-109.987779598804,printer ink,office
2024-11-21,-898.123741740111,campaign spend,marketing
2024-10-14,-1796.9550219129617,employee payroll,salary
2023-11-06,-987.6504941473684,campaign spend,marketing
2024-11-13,-3057.0857512116518,warehouse lease payment,rent
2022-08-24,-334.5760046796561,electricity payment,utilities
2025-08-08,-690.9706845214994,hotel booking,travel
2024-01-03,-349.48462556299535,water service charge,utilities
2025-10-02,-868.3697213491188,social media ads,marketing
2022-08-11,-1643.593867743348,consultant salary,salary
2023-12-28,-470.48430452614934,client visit transport,travel
2024-10-14,-649.0664144582664,hotel booking,travel
2023-12-26,-813.1439395310691,client visit transport,travel
2023-10-14,-1372.6360493712,consultant salary,salary
2022-08-31,-2049.339540581992,staff wage transfer,salary
2023-07-11,-1810.5567087284694,employee payroll,salary
2022-12-15,-304.0586586019825,internet bill,utilities
2023-03-17,-732.0221879648755,flight ticket,travel
2024-09-25,-244.6780927057453,internet bill,utilities
2024-07-09,-362.7152617964777,water service charge,utilities
2024-06-06,-1545.499722357056,consultant salary,salary
2023-06-13,-1967.5400275751385,employee payroll,salary
2025-11-03,-866.1275366933264,hotel booking,travel
2022-05-09,-907.3850989746517,social media ads,marketing
2023-05-16,-1485.268535731369,staff wage transfer,salary
2022-06-22,337.3388193110051,customer payment received,income
2023-05-11,-629.1098107110357,flight ticket,travel
2025-11-06,-1520.877734656497,consultant salary,salary
2023-06-20,-353.2102757492897,water service charge,utilities
2025-08-20,-2407.493818895971,warehouse lease payment,rent
2023-12-25,-2093.280103201058,warehouse lease payment,rent
2024-10-19,-406.97807212784915,water service charge,utilities
2023-10-31,-335.31506612201963,electricity payment,utilities
2023-01-24,-926.3222846261713,campaign spend,marketing
2025-01-21,-2320.8959763412113,monthly office rent,rent
2025-11-16,-136.3098359303322,stationery purchase,office
2023-01-21,-1857.8542344897055,staff wage transfer,salary
2025-02-11,-2670.8054683205564,warehouse lease payment,rent
2023-01-17,-843.790300001241,promotional expense,marketing
2024-11-13,2098.840261005175,customer payment received,income
2025-02-26,-604.618703786933,flight ticket,travel
2023-10-19,-3648.917449867148,monthly office rent,rent
2024-12-12,-2979.283136016926,monthly office rent,rent
2023-02-02,761.9013176280484,customer payment received,income
2022-04-26,-389.28644504080484,water service charge,utilities
2022-05-21,-149.69949919026737,printer ink,office
2023-10-16,-1501.666067981414,employee payroll,salary
2025-08-11,3628.2419035418593,customer payment received,income
2022-07-06,-141.83229192642338,stationery purchase,office
2023-10-28,-1645.9635817914632,building rent,rent
2024-10-25,-2135.8726240153046,warehouse lease payment,rent
2022-10-23,-279.90023181244936,internet bill,utilities
2024-11-20,579.8722079399997,customer payment received,income
2023-03-24,-744.7935232212054,client visit transport,travel
2025-03-27,-123.78874998326712,stationery purchase,office
2024-04-26,-92.11835766818106,stationery purchase,office
2024-03-10,-2002.500468787098,employee payroll,salary
2022-09-16,-156.88767859034897,stationery purchase,office
2023-11-08,-751.4733257540714,hotel booking,travel
2025-06-05,-3536.0033146276537,building rent,rent
2022-01-29,-159.78073815877053,office supplies,office
2025-01-13,6449.810066838613,customer payment received,income
2023-12-21,-496.7849757294435,flight ticket,travel
2024-11-17,-725.7110775501417,campaign spend,marketing
2024-08-27,-1729.4164885629086,consultant salary,salary
2023-09-24,-1724.6047804379382,staff wage transfer,salary
2023-03-27,-238.40469156433966,internet bill,utilities
2024-07-05,-138.83728406800233,office supplies,office
2022-07-24,-1701.0901079144883,staff wage transfer,salary
2024-05-03,-657.476856512909,flight ticket,travel
2022-05-19,-199.45261892110432,electricity payment,utilities
2024-08-07,-2342.700665180032,warehouse lease payment,rent
2024-07-07,2059.552255588337,customer payment received,income
2022-05-04,2103.459862960521,customer payment received,income
2025-01-11,-950.255813810523,flight ticket,travel
2023-08-31,-2399.258049828224,employee payroll,salary
2025-02-23,5017.409330009851,customer payment received,income
2022-03-02,-255.0146691057605,internet bill,utilities
2022-09-20,-794.7216695090103,flight ticket,travel
2023-12-23,1663.5730901696838,customer payment received,income
2022-10-02,-1809.0729287881584,employee payroll,salary
2023-04-27,-691.1105655230598,flight ticket,travel
2024-08-23,-1052.7923091512898,employee payroll,salary
2022-07-31,-758.317688208452,social media ads,marketing
2024-09-17,-786.068519640297,promotional expense,marketing
2022-06-01,-719.9575256545783,hotel booking,travel
2022-09-13,-3270.5354903782354,warehouse lease payment,rent
2024-05-08,-131.7359465250787,stationery purchase,office
2025-03-05,-2863.6751481681526,building rent,rent
2022-09-07,-165.56481921755204,stationery purchase,office
2023-03-15,-1936.739030558826,warehouse lease payment,rent
2025-09-13,-631.5882348323843,hotel booking,travel
2025-12-16,-2266.8995075796356,building rent,rent
2024-04-28,-2425.916394052186,building rent,rent
2023-10-16,-1059.9999183718628,social media ads,marketing
2023-05-22,-879.7390474034218,social media ads,marketing
2024-06-13,-2378.5036538979457,building rent,rent
2024-05-13,-114.64494413814673,stationery purchase,office
2023-03-07,-1376.1004090502843,staff wage transfer,salary
2022-02-03,-1895.1115594364378,staff wage transfer,salary
2022-08-10,-1670.3097401120276,staff wage transfer,salary
2025-11-01,-233.39553583287378,electricity payment,utilities
2023-09-03,-1497.7627662604373,staff wage transfer,salary
2023-12-06,-339.7439834019806,electricity payment,utilities
2023-11-14,-1586.9948714865254,staff wage transfer,salary
2025-02-17,5072.439895609325,customer payment received,income
2022-04-05,-305.1650077050865,water service charge,utilities
2022-05-01,-947.8841358995564,social media ads,marketing
2023-02-08,-1229.298701207303,social media ads,marketing
2023-12-13,-331.4559833896767,internet bill,utilities
2024-09-07,-1788.4896234018083,employee payroll,salary
2023-12-18,-936.9500394353987,promotional expense,marketing
2023-10-07,-793.304021459065,promotional expense,marketing
2025-10-02,-969.7969203688386,campaign spend,marketing
2022-08-24,-134.60914695485891,stationery purchase,office
2024-04-15,-1117.188905751446,promotional expense,marketing
2024-03-03,-134.95750477672345,printer ink,office
2023-11-23,685.424612456809,customer payment received,income
2025-03-25,-388.23805193112895,electricity payment,utilities
2023-01-26,-2248.1697279833156,employee payroll,salary
2025-10-25,-1716.6241952509952,consultant salary,salary
2023-04-30,-1056.5783035785403,campaign spend,marketing
2024-03-07,-959.6578523057582,campaign spend,marketing
2024-01-31,-986.9681138021705,campaign spend,marketing
2025-05-26,-1641.0501148819094,consultant salary,salary
2023-10-04,-255.89141077476802,electricity payment,utilities
2023-02-20,-1724.0832452762606,employee payroll,salary
2022-02-01,-169.48364738622644,office supplies,office
2023-06-16,-2244.8240007428085,employee payroll,salary
2025-04-22,-2632.9703302192593,monthly office rent,rent
2022-01-15,-949.080530446669,hotel booking,travel
2025-08-02,-170.27326565823643,office supplies,office
2024-03-04,-114.54725417616015,stationery purchase,office
2022-07-24,-3040.5065499002703,monthly office rent,rent
2023-03-18,-1500.3081963614611,consultant salary,salary
2024-03-20,-2779.3686020221157,warehouse lease payment,rent
2023-04-07,-1970.663172158406,staff wage transfer,salary
2022-06-08,-944.3454786792576,hotel booking,travel
2024-08-31,-2302.5222948165,consultant salary,salary
2024-09-09,-1918.7910377015778,warehouse lease payment,rent
2022-06-23,-745.7516592575076,client visit transport,travel
2023-02-15,-2074.8290227884954,monthly office rent,rent
2022-12-23,-1231.1411220149005,staff wage transfer,salary
2024-08-21,-2506.313771400035,building rent,rent
2024-12-02,-1816.729291996434,building rent,rent
2024-11-28,-253.758851825078,internet bill,utilities
2025-10-03,-172.9120994781283,office supplies,office
2025-01-27,-932.753571399037,campaign spend,marketing
2023-04-14,-2859.254350262961,warehouse lease payment,rent
2022-06-07,-3128.492029838652,monthly office rent,rent
2024-06-16,-344.2395867446224,internet bill,utilities
2025-08-31,-595.4683705429184,hotel booking,travel
2025-11-25,-917.514387430448,promotional expense,marketing
2022-12-03,-822.8915010507086,promotional expense,marketing
2022-12-12,-343.7228447855832,electricity payment,utilities
2022-02-24,-1578.7773637938683,employee payroll,salary
2022-07-26,-1523.6401379685963,monthly office rent,rent
2024-03-21,-2671.7806756255477,monthly office rent,rent
2024-03-09,-2211.6377981598453,warehouse lease payment,rent
2023-06-26,-162.039460950976,office supplies,office
2023-03-29,-1908.8539227711133,consultant salary,salary
2025-04-27,-1011.7238724991793,promotional expense,marketing
2023-11-04,-743.1060687415766,client visit transport,travel
2025-03-26,-595.4264380936629,hotel booking,travel
2025-11-08,-327.2069377280793,water service charge,utilities
2023-04-09,2263.109599852402,customer payment received,income
2022-10-24,-2972.2799000148,monthly office rent,rent
2025-10-24,-2557.979034482466,building rent,rent
2024-07-16,557.8694525822995,customer payment received,income
2023-03-02,-334.83386482419223,electricity payment,utilities
2024-06-27,-746.2533253890393,hotel booking,travel
2024-01-23,-810.6370754268803,campaign spend,marketing
2025-08-15,1528.4290200358805,customer payment received,income
2023-01-09,-1916.9728172882158,staff wage transfer,salary
2025-12-19,-1711.5084531129737,employee payroll,salary
2025-09-29,-1022.5283633235811,promotional expense,marketing
2022-09-22,3201.0952682628413,customer payment received,income
2022-08-29,-677.7700526620873,hotel booking,travel
2024-02-18,-619.974329594338,hotel booking,travel
2022-03-07,-654.7688555210858,social media ads,marketing
2023-03-13,-1018.9671904038668,social media ads,marketing
2023-09-28,-301.612113599968,water service charge,utilities
2025-11-17,-1827.0803702097203,staff wage transfer,salary
2025-12-20,-295.1802736495738,electricity payment,utilities
2022-08-10,-261.8418565441335,electricity payment,utilities
2025-07-26,-1800.6075660161225,consultant salary,salary
2022-05-13,-614.3918124219786,hotel booking,travel
2024-12-29,-1593.1920277639172,employee payroll,salary
2025-05-20,-780.009110001834,hotel booking,travel
2025-07-25,-601.5634815519127,campaign spend,marketing
2022-11-23,-152.7468874793563,office supplies,office
2025-07-29,-2705.5273499668087,building rent,rent
2022-06-19,-733.6968568709441,promotional expense,marketing
2024-01-29,-2406.657400496864,monthly office rent,rent
2023-11-18,-254.60992398203223,water service charge,utilities
2023-04-07,-1471.2141993881933,employee payroll,salary
2022-02-02,-2155.2161212573806,monthly office rent,rent
2025-02-01,-1703.1250573453112,staff wage transfer,salary
2023-05-06,-2160.527724439767,monthly office rent,rent
2024-08-24,-981.1972095604658,campaign spend,marketing
2023-08-23,-1859.962134842885,warehouse lease payment,rent
2023-06-30,-263.78037453619294,electricity payment,utilities
2025-07-18,-883.2950980544623,campaign spend,marketing
2022-05-19,-149.75288491689597,printer ink,office
2024-12-12,-117.69013460022643,printer ink,office
2024-12-27,-3141.802434898922,warehouse lease payment,rent
2023-07-10,-154.84300027296348,office supplies,office
2023-01-19,-722.4486704942453,client visit transport,travel
2022-01-08,-2286.1292467682288,consultant salary,salary
2025-09-30,-269.2923370584243,internet bill,utilities
2025-10-16,-151.57528932328802,printer ink,office
2022-12-19,-251.29416315937192,electricity payment,utilities
2022-02-16,-1946.335518061072,employee payroll,salary
2022-06-29,372.1129899120661,customer payment received,income
2022-04-09,-144.49465667653462,printer ink,office
2025-04-29,-153.936780826069,office supplies,office
2025-07-27,-126.47309729529152,office supplies,office
2022-08-12,-186.49331535367972,office supplies,office
2024-12-26,-272.35019446983864,water service charge,utilities
2022-09-19,-1670.334888821823,staff wage transfer,salary
2023-06-21,-657.1885211901059,client visit transport,travel
2024-05-25,-1587.379669815908,staff wage transfer,salary
2024-11-17,-302.05011570395436,electricity payment,utilities
2025-07-01,-732.748587786817,flight ticket,travel
2022-03-07,-104.53560677754379,office supplies,office
2022-10-14,-1665.0572118401342,employee payroll,salary
2023-02-14,-2253.359815458404,employee payroll,salary
2023-03-30,-958.5397104958154,promotional expense,marketing
2025-12-29,-3281.8856112549543,monthly office rent,rent
2025-02-09,-739.9039965301806,client visit transport,travel
2023-04-14,-1183.392856245768,social media ads,marketing
2025-11-20,-549.3243513111618,flight ticket,travel
2023-12-31,-232.94440459665427,water service charge,utilities
2024-01-02,-893.7821512920895,promotional expense,marketing
2023-09-26,-240.23295205968913,electricity payment,utilities
2022-07-30,-746.9682251117906,social media ads,marketing
2025-09-27,-342.369192100341,internet bill,utilities
2022-01-21,-2335.1814458907143,warehouse lease payment,rent
2022-09-12,-890.009781736309,flight ticket,travel
2022-12-02,-1647.628065257729,monthly office rent,rent
2023-02-13,-135.6014362694822,printer ink,office
2022-07-12,-680.793953336486,hotel booking,travel
2022-01-27,-303.29482457927196,water service charge,utilities
2024-09-17,-336.7121991592995,electricity payment,utilities
2025-11-17,-801.1963946596109,hotel booking,travel
2022-06-27,-1429.4675674260402,employee payroll,salary
2023-03-10,-2067.5987052085848,staff wage transfer,salary
2024-01-10,-303.91319890227095,water service charge,utilities
2025-09-17,-1708.2516848875837,employee payroll,salary
2024-10-11,-765.762686803217,promotional expense,marketing
2025-01-24,-2468.980674301304,warehouse lease payment,rent
2024-04-29,-858.2292666324101,promotional expense,marketing
2023-09-02,-271.91170773887103,internet bill,utilities
2022-10-19,-473.34080387599244,client visit transport,travel
2025-06-16,-2323.8156537981376,monthly office rent,rent
2025-03-20,-372.3683615045194,water service charge,utilities
2022-02-06,-1011.0647731156787,promotional expense,marketing
2024-11-11,-1722.5393980609967,staff wage transfer,salary
2022-05-04,-3217.6674005608475,warehouse lease payment,rent
2024-12-15,-757.0971944570359,flight ticket,travel
2025-04-21,-1970.756130296233,building rent,rent
2022-07-11,-1744.729194774457,consultant salary,salary
2023-09-26,371.80057075560893,customer payment received,income
2022-06-30,-804.2489148225636,hotel booking,travel
2024-04-08,-720.6323341418013,hotel booking,travel
2025-09-17,1886.2446736052718,customer payment received,income
2022-04-29,-187.53077849750468,stationery purchase,office
2023-08-04,7665.181997140418,customer payment received,income
2025-11-22,-317.65017058141274,electricity payment,utilities
2023-03-16,-2754.617242881993,warehouse lease payment,rent
2022-07-13,-2502.8377362366814,monthly office rent,rent
2023-12-15,-2008.2321448833525,consultant salary,salary
2024-01-13,-525.9755073755879,flight ticket,travel
2024-08-26,-165.36956553566642,printer ink,office
2023-04-04,1193.9807111865368,customer payment received,income
2025-10-28,-757.9625965462155,flight ticket,travel
2024-02-01,-920.9429727093801,promotional expense,marketing
2023-02-23,-1404.1252387010659,staff wage transfer,salary
2025-11-03,-168.37784653358077,stationery purchase,office
2025-09-13,-147.97147137747962,stationery purchase,office
2023-12-31,-2869.840041443724,warehouse lease payment,rent
2022-02-06,-299.7604712796735,electricity payment,utilities
2024-05-22,1814.6111835957724,customer payment received,income
2024-03-22,-269.05417201807506,water service charge,utilities
2022-08-05,-122.83293686299798,printer ink,office
2024-07-15,349.6628600129001,customer payment received,income
2025-05-13,-270.1068464074964,water service charge,utilities
2022-06-04,-2279.259943098474,building rent,rent
2024-11-22,-303.95579193161467,water service charge,utilities
2022-07-25,-2058.3459124775045,staff wage transfer,salary
2024-12-30,-234.8823586786004,electricity payment,utilities
2023-09-05,-527.7628201406774,client visit transport,travel
2022-01-10,-323.113631732171,electricity payment,utilities
2025-11-12,-1153.9772847850747,consultant salary,salary
2022-08-31,-2085.494421059085,employee payroll,salary
2024-05-20,-878.0605992440576,social media ads,marketing
2022-09-23,-2017.5287007672875,building rent,rent
2025-09-25,-1805.590718308683,employee payroll,salary
2024-12-14,-163.18315973516067,printer ink,office
2025-03-21,-2856.451077694653,monthly office rent,rent
2023-09-24,-308.0973039547488,water service charge,utilities
2023-11-14,-2072.2433992940505,staff wage transfer,salary
2024-07-15,-2762.5315111172085,warehouse lease payment,rent
2025-02-20,-364.2966945401825,internet bill,utilities
2025-05-22,-744.3689031938684,flight ticket,travel
2022-01-27,-1907.8782142288758,employee payroll,salary
2024-08-27,-2601.7661848493967,building rent,rent
2022-06-09,-2745.903798412118,monthly office rent,rent
2023-02-25,-627.4384305839778,flight ticket,travel
2025-04-26,-160.4485588243976,printer ink,office
2023-01-01,5310.378453036637,customer payment received,income
2025-03-10,-1701.3184168396037,employee payroll,salary
2023-11-08,-229.53992109585357,internet bill,utilities
2022-12-06,591.2780155794262,customer payment received,income
2023-05-04,-1677.421179509321,consultant salary,salary
2024-02-15,-2583.0985637492886,monthly office rent,rent
2025-01-22,941.6796399534982,customer payment received,income
2024-06-04,-366.84926217850233,water service charge,utilities
2025-09-25,-293.6473941525312,water service charge,utilities
2025-06-21,-1864.7381734812698,consultant salary,salary
2025-01-05,-121.04604909047619,stationery purchase,office
2024-05-31,-834.3471635709593,client visit transport,travel
2023-02-28,-346.441451032271,electricity payment,utilities
2023-08-26,-1898.7435321244766,staff wage transfer,salary
2022-06-23,-711.1165884710282,campaign spend,marketing
2023-07-01,-138.85635871345656,office supplies,office
2025-09-15,4885.199180880711,customer payment received,income
2023-09-15,-169.39460299455095,printer ink,office
2022-06-16,-784.2766022698573,campaign spend,marketing
2024-08-10,-2186.7336272866632,monthly office rent,rent
2025-11-07,-739.8707622139578,campaign spend,marketing
2025-06-21,-2566.079897110741,warehouse lease payment,rent
2023-02-05,-2349.8837843838724,building rent,rent
2023-10-26,-2386.653168067952,building rent,rent
2024-02-15,-305.10092990279134,internet bill,utilities
2022-12-29,-625.8140861457281,client visit transport,travel
2023-01-28,-303.36460147041277,electricity payment,utilities
2022-12-12,-2553.0260015595168,warehouse lease payment,rent
2025-12-24,-1781.7600192981774,employee payroll,salary
2024-12-25,-146.35681423608597,stationery purchase,office
2025-05-13,-126.61419648933256,office supplies,office
2025-04-08,-876.2804384177452,social media ads,marketing
2025-11-02,-2016.2763630181596,monthly office rent,rent
2022-06-03,-875.7476980946927,social media ads,marketing
2025-07-12,2572.4786821464863,customer payment received,income
2022-04-08,-795.0047878375143,hotel booking,travel
2023-11-26,7056.044375318709,customer payment received,income
2024-05-18,415.5775318367535,customer payment received,income
2023-06-07,-352.63245011154726,internet bill,utilities
2022-08-02,-1852.2181425144622,building rent,rent
2022-10-08,4772.803834630146,customer payment received,income
2025-04-19,-318.1252323497808,electricity payment,utilities
2023-04-11,-2854.1585794011594,building rent,rent
2023-03-30,-1136.274226451129,staff wage transfer,salary
2025-09-11,-237.3568085561585,electricity payment,utilities
2022-07-30,-135.42958268111207,stationery purchase,office
2025-08-30,-2811.821039749891,monthly office rent,rent
2025-09-07,-592.9513536452139,flight ticket,travel
2024-05-24,-123.89791095052011,office supplies,office
2022-08-30,-963.4318086446423,social media ads,marketing
2022-08-16,-153.7524540150447,stationery purchase,office
2023-02-20,-2084.0401942252693,staff wage transfer,salary
2024-04-23,-847.1480349580055,campaign spend,marketing
2022-08-13,-186.42911595265872,stationery purchase,office
2023-10-28,-1769.2536975816568,staff wage transfer,salary
2022-06-18,-353.89147300653707,electricity payment,utilities
2024-02-29,-632.9302649240224,client visit transport,travel
2022-01-31,-266.243328154545,internet bill,utilities
2024-11-01,-1564.566615075868,staff wage transfer,salary
2022-03-22,-186.38158650371128,office supplies,office
2022-10-12,-162.0041893278648,stationery purchase,office
2022-09-13,-324.3901756586687,electricity payment,utilities
2025-04-29,-993.6958487207817,campaign spend,marketing
2022-03-19,-221.13086004520773,water service charge,utilities
2023-09-20,-788.5286584075832,campaign spend,marketing
2024-05-13,1160.8206273986652,customer payment received,income
2024-01-24,-274.04812373054693,electricity payment,utilities
2024-09-21,-2561.4115390458255,warehouse lease payment,rent
2025-03-19,-744.8942582821732,hotel booking,travel
2023-07-30,-1649.9037515491505,consultant salary,salary
